Model,Price,Discount,Link
POCO F4 GT 12/256GB (черный),62990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-f4-gt-12-256gb-chernyy/
POCO F4 GT 12/256GB (серебристый),62990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-f4-gt-12-256gb-serebristyy/
POCO F4 GT 12/256GB (желтый),62990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-f4-gt-12-256gb-zheltyy/
POCO F4 6/128GB (серебристый),30990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-f4-6-128gb-serebristyy/
POCO F4 6/128GB (черный),30990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-f4-6-128gb-chernyy/
POCO F4 6/128GB (зеленый),30990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-f4-6-128gb-zelenyy/
Xiaomi 12X 8/256GB (серый),69990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/xiaomi-12x-8-256gb-seryy/
Xiaomi 12X 8/256GB (синий),69990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/12x-8-256gb-siniy/
Xiaomi Redmi 10C 4/64GB (серый),14990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/xiaomi-redmi-10c-4-64gb-seryy/
Xiaomi Redmi 10 4/64GB (серый),16990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-10-4-64gb-seryy/
Xiaomi Redmi 10 4/128GB (синий),17990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-10-4-128gb-siniy/
Xiaomi Redmi Note 10S 6/128GB (белый),19990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-note-10s-6-128gb-white/
POCO X3 Pro 8/256GB (синий),46990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-x3-pro-8-256gb-blue/
POCO X3 Pro 8/256GB (черный),46990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-x3-pro-8-256gb-black/
POCO X3 Pro 6/128GB (синий),23990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-x3-pro-6-128gb-blue/
